index,Latitude,Longitude,Time Range,crime count,Occurrence of Crime
6543343,34.0206,-118.4453,01:30 AM - 02:00 AM,0,No
17141148,34.1227,-118.3885,06:30 AM - 07:00 AM,0,No
73083,33.7297,-118.5906,10:30 PM - 11:00 PM,0,No
8634569,34.0385,-118.352,05:30 AM - 06:00 AM,0,No
3002315,33.9698,-118.3015,01:00 AM - 01:30 AM,0,No
21106971,34.1924,-118.2621,11:30 AM - 12:00 PM,0,No
3354220,33.9761,-118.3714,09:00 AM - 09:30 AM,0,No
836556,33.7895,-118.4185,01:30 AM - 02:00 AM,0,No
16105786,34.1034,-118.3267,07:00 AM - 07:30 AM,0,No
9116498,34.0421,-118.2456,01:00 AM - 01:30 AM,0,No
21052923,34.1922,-118.4172,12:30 PM - 01:00 PM,0,No
8381868,34.0367,-118.3663,02:30 PM - 03:00 PM,0,No
5074801,33.9988,-118.4043,11:30 AM - 12:00 PM,0,No
13517794,34.0713,-118.3548,03:00 PM - 03:30 PM,0,No
11806928,34.0573,-118.2615,05:30 AM - 06:00 AM,0,No
16710381,34.1104,-118.387,12:30 AM - 01:00 AM,0,No
18733321,34.1585,-118.2822,07:00 AM - 07:30 AM,0,No
6087172,34.0163,-118.3309,07:00 AM - 07:30 AM,0,No
17478608,34.1312,-118.2719,06:30 AM - 07:00 AM,0,No
20437000,34.1848,-118.4699,06:30 PM - 07:00 PM,0,No
3711535,33.9833,-118.3899,07:30 PM - 08:00 PM,0,No
23964947,34.244,-118.3741,11:30 AM - 12:00 PM,0,No
10795770,34.0509,-118.2932,05:30 AM - 06:00 AM,0,No
3750345,33.9834,-118.3615,01:30 PM - 02:00 PM,0,No
11591980,34.0556,-118.258,08:30 PM - 09:00 PM,0,No
22585172,34.2164,-118.1991,01:30 PM - 02:00 PM,0,No
22885756,34.2222,-118.3987,11:00 PM - 11:30 PM,0,No
23375257,34.2299,-118.1989,09:00 PM - 09:30 PM,0,No
14463495,34.0799,-118.2658,10:00 PM - 10:30 PM,0,No
25072641,34.2672,-118.44,10:30 AM - 11:00 AM,0,No
2009854,33.9507,-118.1994,08:00 PM - 08:30 PM,0,No
2314630,33.955999999999996,-118.3529,10:30 AM - 11:00 AM,0,No
6959370,34.0234,-118.2615,04:30 PM - 05:00 PM,0,No
23956142,34.244,-118.4677,03:30 AM - 04:00 AM,0,No
5120236,33.9995,-118.305,04:30 AM - 05:00 AM,0,No
9320766,34.0435,-118.309,04:00 AM - 04:30 AM,0,No
25261300,34.2708,-118.3386,11:00 AM - 11:30 AM,0,No
17271714,34.1271,-118.1601,06:30 AM - 07:00 AM,0,No
21524335,34.1994,-118.3656,01:30 PM - 02:00 PM,0,No
6922010,34.0233,-118.2702,07:00 PM - 07:30 PM,0,No
8418707,34.0374,-118.3563,10:00 AM - 10:30 AM,0,No
22821778,34.2214,-118.31299999999999,05:30 PM - 06:00 PM,0,No
20239282,34.1804,-118.2942,12:30 AM - 01:00 AM,0,No
14582349,34.0812,-118.5233,05:30 PM - 06:00 PM,0,No
14936196,34.0862,-118.2104,09:30 AM - 10:00 AM,0,No
17536694,34.1318,-118.3816,03:30 AM - 04:00 AM,0,No
21499128,34.1979,-118.2774,06:00 AM - 06:30 AM,0,No
15379723,34.0942,-118.413,03:30 AM - 04:00 AM,0,No
1751436,33.9427,-118.2695,02:00 PM - 02:30 PM,0,No
3143519,33.9727,-118.3225,09:00 AM - 09:30 AM,0,No
16548859,34.1079,-118.2491,09:00 AM - 09:30 AM,0,No
3972682,33.9859,-118.2964,03:30 AM - 04:00 AM,0,No
21429852,34.1975,-118.2637,07:00 AM - 07:30 AM,0,No
9079640,34.042,-118.2504,07:30 PM - 08:00 PM,0,No
14589893,34.0812,-118.4095,06:00 AM - 06:30 AM,0,No
9691469,34.0452,-118.2425,11:00 AM - 11:30 AM,0,No
5985868,34.0149,-118.2836,09:00 PM - 09:30 PM,0,No
6056628,34.016,-118.2877,10:00 AM - 10:30 AM,0,No
13141812,34.0677,-118.1928,12:30 AM - 01:00 AM,0,No
12743681,34.0642,-118.2424,03:30 AM - 04:00 AM,0,No
12853063,34.0647,-118.2177,10:00 AM - 10:30 AM,0,No
1673718,33.9392,-118.3015,12:30 AM - 01:00 AM,0,No
18377314,34.15,-118.2669,04:00 PM - 04:30 PM,0,No
2197040,33.9547,-118.4575,12:30 PM - 01:00 PM,0,No
21699352,34.203,-118.4163,08:00 AM - 08:30 AM,0,No
5073109,33.9988,-118.4272,11:30 AM - 12:00 PM,0,No
415385,33.7485,-118.3113,11:00 PM - 11:30 PM,0,No
16239553,34.1042,-118.4366,09:30 AM - 10:00 AM,0,No
17219386,34.1249,-118.3237,09:30 PM - 10:00 PM,0,No
25358301,34.2724,-118.4512,07:30 AM - 08:00 AM,0,No
21123157,34.1937,-118.4349,08:30 PM - 09:00 PM,0,No
11078334,34.0526,-118.331,05:30 AM - 06:00 AM,0,No
15756385,34.1004,-118.2637,05:30 AM - 06:00 AM,0,No
23719197,34.2386,-118.3163,06:00 PM - 06:30 PM,0,No
9264237,34.0429,-118.1601,10:00 AM - 10:30 AM,0,No
3306768,33.9759,-118.5338,06:00 PM - 06:30 PM,0,No
2225309,33.9547,-118.1991,12:00 AM - 12:30 AM,0,No
1263933,33.9308,-118.4519,04:30 AM - 05:00 AM,0,No
21589204,34.2011,-118.4427,06:00 PM - 06:30 PM,0,No
21576235,34.201,-118.2477,07:30 PM - 08:00 PM,0,No
3036283,33.9708,-118.3157,06:00 PM - 06:30 PM,0,No
4723914,33.9943,-118.316,07:00 PM - 07:30 PM,0,No
10870640,34.0514,-118.2764,05:00 AM - 05:30 AM,0,No
12186232,34.0605,-118.3845,12:30 PM - 01:00 PM,0,No
10000016,34.0466,-118.3431,07:00 AM - 07:30 AM,0,No
24883123,34.2592,-118.2016,03:30 AM - 04:00 AM,0,No
20409253,34.1841,-118.3823,10:00 AM - 10:30 AM,0,No
9636502,34.0449,-118.3874,10:30 PM - 11:00 PM,0,No
3461739,33.9779,-118.3726,12:30 AM - 01:00 AM,0,No
22681799,34.2176,-118.2894,11:00 AM - 11:30 AM,0,No
20065701,34.1792,-118.262,07:00 PM - 07:30 PM,0,No
23125594,34.228,-118.6029,09:30 PM - 10:00 PM,0,No
25089615,34.2672,-118.2789,02:00 PM - 02:30 PM,0,No
15496127,34.0966,-118.3205,07:30 PM - 08:00 PM,0,No
13021154,34.0671,-118.2979,07:30 PM - 08:00 PM,0,No
16369982,34.1053,-118.2455,11:30 AM - 12:00 PM,0,No
11060788,34.0526,-118.5943,09:30 PM - 10:00 PM,0,No
16414567,34.1069,-118.4849,02:30 AM - 03:00 AM,0,No
3752227,33.9834,-118.3406,02:30 PM - 03:00 PM,0,No
6461035,34.02,-118.2286,07:30 PM - 08:00 PM,0,No
6160488,34.0166,-118.3128,05:00 AM - 05:30 AM,0,No
19658592,34.174,-118.3504,09:30 PM - 10:00 PM,0,No
5102887,33.9995,-118.5142,01:30 AM - 02:00 AM,0,No
7625494,34.0311,-118.3899,01:00 PM - 01:30 PM,0,No
21182864,34.1938,-118.2359,05:30 AM - 06:00 AM,0,No
20479483,34.1849,-118.402,04:00 PM - 04:30 PM,0,No
14036942,34.0759,-118.2371,08:00 AM - 08:30 AM,0,No
25652727,34.2904,-118.3735,04:30 PM - 05:00 PM,0,No
12530255,34.0621,-118.2132,04:00 AM - 04:30 AM,0,No
5485877,34.0075,-118.2695,06:30 PM - 07:00 PM,0,No
19388131,34.1685,-118.2222,10:00 AM - 10:30 AM,0,No
2070270,33.9519,-118.2923,07:00 AM - 07:30 AM,0,No
7896807,34.0327,-118.2366,04:00 AM - 04:30 AM,0,No
12052209,34.0588,-118.2951,11:00 PM - 11:30 PM,0,No
14729003,34.0838,-118.4563,01:00 AM - 01:30 AM,0,No
4144555,33.9885,-118.3675,12:30 AM - 01:00 AM,0,No
4522267,33.9915,-118.2189,10:30 AM - 11:00 AM,0,No
17013352,34.1159,-118.2626,05:00 AM - 05:30 AM,0,No
23010911,34.2247,-118.2564,08:00 PM - 08:30 PM,0,No
16257289,34.1042,-118.2748,06:00 PM - 06:30 PM,0,No
24905674,34.2597,-118.3046,10:30 PM - 11:00 PM,0,No
859813,33.7895,-118.2177,09:00 PM - 09:30 PM,0,No
9928807,34.0461,-118.3363,05:00 AM - 05:30 AM,0,No
17809133,34.1395,-118.2032,05:00 PM - 05:30 PM,0,No
5102148,33.9995,-118.5338,08:00 AM - 08:30 AM,0,No
5962562,34.0149,-118.5772,12:30 AM - 01:00 AM,0,No
25085235,34.2672,-118.3042,09:30 AM - 10:00 AM,0,No
20028159,34.1787,-118.2715,01:00 AM - 01:30 AM,0,No
5695305,34.0109,-118.3024,04:30 PM - 05:00 PM,0,No
13153778,34.0678,-118.40799999999999,02:30 PM - 03:00 PM,0,No
16291471,34.1047,-118.2827,01:00 AM - 01:30 AM,0,No
